360.17,367.42,1963.5,1026.7,2001.9,1753.4,801.4,492.03,369.59,558.67,336.25,474.62,342.78,849.23,373.97,345.71,237.05,186.32,159.53,1577.4,281.24,189.22,201.55,149.37,382.66,100.83,115.32,78.4,2976.4,245.74,180.53,99.4,51.58,42.89,30.52,23.32,106.65,51.59,31.27,20.43,13.89,13.18,10.29,14.59,37.04,31.96,52.99,32.68,197.87,85.59,105.16,787.64
734.75,402.9,628.24,270.32,171.79,161.64,272.5,297.13,347.12,494.21,226.12,823.85,1541.8,4157.3,739.13,521.04,695.65,978.22,1684.6,302.26,4227.6,303.7,216.03,231.26,299.34,94.33,126.92,90.7,103.02,594.94,952.12,2660.5,2270.7,1192.7,254.43,125.47,84.18,60.27,116.77,42.86,39.97,113.16,39.25,39.94,34.84,59.5,28.34,21.08,85.57,208.73,168.89,279.02
524.63,5047,392.76,334.81,1672.2,744.85,790.51,682.56,340.59,4956.4,606.48,583.29,1964.2,994.14,808.67,402.21,379.04,301.51,205.16,174.01,128.37,145.75,83.45,133.43,138.5,485.54,110.25,58.08,24.05,13.18,21.86,53.74,30.55,13.9,9.56,5.18,5.18,0.86,0.86,21.14,119.67,1940.4,123.29,536.23,1204.2,307.26,857.18,1723,267.42,1641.8,922.37,4740.5
739.08,1828,862.97,1019.4,527.51,1005,2212.7,1350.6,635.47,486.23,396.4,794.12,325.38,506.55,890.55,3184.3,637.69,734.06,1775.9,394.97,391.36,471.04,146.48,401.51,192.12,124.74,61.74,95.04,51.57,67.5,163.87,111.69,62.44,150.1,65.34,201.55,62.43,28.37,13.17,10.29,5.18,11.72,3.02,4.46,5.18,5.18,5.18,5.18,6.62,5.18,10.95,17.46
24.71,20.37,19.64,23.26,79.03,70.35,38.44,58.03,2873.4,936.13,304.38,1028.2,2548.2,689.86,6271.4,1878,374.68,237.77,162.42,1158.6,772.45,1909.2,2165.7,400.05,1191.2,314.57,396.42,138.51,122.56,914.43,526.85,284.12,81.27,580.46,287.76,6803.9,2320,915.9,415.25,289.92,202.98,136.35,111.72,113.83,135.57,123.23,150.05,7959.5,838.32,371.02,1234.6,555.77
1899,661.52,670.24,1901.9,502.14,492,1662.1,705.73,636.89,799.93,2093.2,1194.8,4823.1,3309.6,1654.9,3786.4,1037.6,525.4,446.41,395.7,905.03,239.21,191.39,134.16,110.25,69.68,69.68,210.21,385.56,238.5,103.01,192.84,74.02,78.38,41.41,1215.8,405.12,73.31,142.87,80.55,50.15,41.42,32.71,307.28,557.21,1085.4,230.46,248.58,158.74,1496.9,362.33,248.61
7521.1,2625.7,5914.9,797.73,1339.7,1965.6,5897.5,1005.7,589.07,462.3,4253.6,3523.3,2331.5,8356.5,3305.3,851.42,637.68,444.24,328.3,289.94,185.58,122.57,101.55,748.53,210.95,170.39,112.44,78.37,1040.5,615.94,536.27,190.68,77.66,85.61,796.36,69.69,228.35,51.59,57.37,524.66,134.87,229.81,93.59,56.6,58.75,145.68,93.53,99.33,339.12,1214.3,1154.2,1048.4
5688.2,1231,6100.4,1538.9,2803.2,1497.6,914.38,1408.5,928.87,730.37,808.59,777.45,542.72,3122.7,826.78,559.45,5649.8,945.6,463.81,481.2,253.7,243.55,978.2,463.08,359.46,231.95,765.92,187.04,176.19,150.81,1370.9,742.74,1257.9,910.11,694.2,1141.9,247.9,124.74,87.07,1000.6,589.15,410.19,250.81,193.53,160.9,752.11,243.49,229,190.62,172.5,170.33,436.95
1972.9,1015.1,415.91,925.25,476.06,321.74,297.84,516.62,466.64,1333.1,682.54,362.31,262.34,649.99,1528.8,297.89,205.87,153.71,115.31,200.83,250.06,180.52,852.84,1019.5,8168.1,1956.3,1005,1378.1,948.49,12470,1391.2,596.37,339.91,193.55,158.79,260.23,116.04,366.7,143.56,122.55,95.03,87.77,152.28,100.07,131.92,102.22,2136.6,351.44,1325.9,646.32,271.77,1651.2
548.5,733.99,1152.8,928.13,1797.6,3021.9,2480,849.89,3503,1351.3,2769.8,802.81,2474.3,1957.7,730.43,737.66,787.67,3372,538.43,337.73,333.39,329.77,430.47,311.66,611.61,200.81,1479.6,339.19,587.7,1178.9,381.93,236.31,5078.9,965.16,3473.4,484.08,227.62,166.76,140.68,296.45,150.83,125.49,96.47,158.03,226.84,125.38,285.49,147.14,134.81,126.85,139.89,741.95
220.31,431.86,717.31,250.73,288.42,4087.7,1044.1,2498.1,676,1043.3,1368.7,599.2,544.88,378.31,965.16,931.84,675.37,342.09,276.88,217.48,3376.3,1656.3,383.39,481.92,1999,245.01,167.49,237.78,155.17,121.11,209.51,93.59,4571,1073.1,741.3,192.13,232.68,115.32,74.02,68.95,60.99,56.66,54.47,192.09,92.79,4300.7,409.39,310.13,219.59,235.52,405.05,1638.2
834.69,387.67,1327.3,651.38,392.01,328.27,649.95,315.94,279.01,1553.4,491.28,433.33,1371.6,1386.1,585.54,314.56,430.49,217.49,183.43,129.08,98.66,105.19,120.42,260.24,109.53,85.63,155.17,178.37,204.47,123.3,77.66,49.42,36.38,40.72,52.32,210.98,59.55,21.87,11.73,10.29,5.91,5.18,5.18,5.18,5.18,5.18,5.18,5.18,11.67,21.08,23.98,34.13
29.06,26.14,29.77,46.44,44.25,143.51,917.31,206.56,554.32,1668.6,289.14,330.46,588.39,197.95,212.42,121.87,86.37,984.75,205.9,2640.2,907.24,150.84,269.68,379.07,123.32,84.91,235.62,344.3,166.78,295.04,135.63,1150.7,1641.8,609.46,210.25,413.85,147.23,76.95,692.05,136.36,718.86,4240.7,1041.3,411.62,265.98,236.26,2640.9,928.9,1552,897.73,797.77,2699.6
811.53,561.59,1525.2,2099.7,1881.6,4078.3,958.61,539.85,390.6,2501.8,912.97,1299.9,1125.3,457.33,588.47,2461.3,587.73,339.96,295.75,243.59,461.67,214.61,332.71,213.17,140.72,98.69,218.23,698.59,134.2,55.24,37.81,25.52,17.56,11.75,54.49,45.09,53.05,28.43,37.82,22.63,13.2,8.85,5.97,5.21,8.78,31.99,24.71,18.91,19.64,20.37,20.37,218.92
988.33,155.14,1282.5,192.83,129.08,491.31,2828.6,1178.1,594.2,1623,2252.6,2472.8,1966.4,736.28,4790.6,1520.2,1039.8,403.02,853.65,222.59,767.44,232.02,126.96,148.7,190.01,80.6,36.43,72.63,774.67,76.26,490.68,344.31,61.77,63.21,67.57,25.54,28.44,4933.3,1034.8,5305.7,292.89,1008,1039.8,255.89,232.67,186.31,215.28,2756.1,1383.2,1093.4,465.97,536.28
1343.3,1115.1,654.35,435.54,309.47,364.54,4767.3,2627.9,1151.4,1041.2,513.79,457.27,340.65,248.7,223.35,1079,592.85,311.74,224.06,521.1,332.01,346.51,123.37,297.24,618.21,116.12,199.44,446.48,2967,2404.1,432.02,667.46,576.9,1273.9,230.59,258.84,1488.3,11821,455.2,418.97,306.68,225.52,242.19,197.95,191.4,212.39,263.83,208.04,1594,450.04,455.1,5489.7
1139,1744.7,1131.8,1541.9,2417.1,3820.4,1130.4,905.76,547.13,560.88,486.99,719.56,446.42,323.34,490.7,328.43,359.57,476.94,292.9,510.99,667.46,253.04,159.59,103.81,306.68,130.6,622.55,1670.2,180.61,129.17,92.93,69.05,51.63,69.03,65.4,32.1,117.57,55.27,88.59,47.28,270.45,79.89,48.02,76.96,68.24,297.89,326.15,152.27,100.81,92.13,282.67,213.15
497.14,1726.6,3166.2,784.75,370.34,271.82,235.61,505.83,526.83,718.83,1927.3,568.86,431.21,491.43,887.72,739.92,354.5,297.27,213.24,147.29,304.51,188.58,108.15,83.52,120.46,136.43,66.14,168.28,50.94,53.82,53.1,461.72,61.79,134.23,51.65,61.8,79.92,50.19,1565.1,87.87,308.13,539.98,174.83,1439,1984.5,2901,1983.8,555.81,358.02,631.17,523.22,355.88
276.89,1908.5,811.57,629.73,543.49,2491,6943,1213.7,1184,3095.9,1205.7,872.43,702.17,2792.5,933.38,1337.7,496.52,350.87,329.15,247.28,280.6,3851.7,423.33,307.42,233.53,187.13,164.67,69.77,626.91,386.38,358.84,487.08,182.07,117.58,79.17,50.94,45.85,43.69,39.37,2486.7,403.05,185.69,155.25,138.57,1291.9,446.42,1943.2,6001.2,3289.4,731.15,976.77,3072.1
2361.3,979.66,634.09,1033.3,1781,2183.1,1484.7,1355.7,833.32,579.02,488.45,1339.8,1016.6,1064.5,987.7,617.52,743.57,1574.6,1376.1,426.25,305.97,221.92,167.61,158.18,129.2,98.05,108.9,134.99,825.44,120.49,324.08,132.8,266.12,245.11,1189.9,192.23,127.73,388.58,104.55,84.27,257.44,94.43,82.8,3740.8,417.45,264.58,210.25,248.63,184.16,647.13,352.25,479.06
274.72,279.8,948.52,492.8,671.02,629.01,588.45,530.46,347.89,308.79,317.46,1663.6,485.56,326.99,249.47,256,230.63,567.52,292.94,620.42,198.02,1194.9,755.16,177.02,332.78,2241.8,424.07,1394.9,812.39,392.91,555.93,240.78,109.63,84.28,69.77,64.72,271.19,306.69,153.11,136.44,136.42,71.2,266.14,113.93,104.47,89.96,108.09,155.18,1464.4,436.29,221.84,229.1
209.5,442.81,357.31,270.38,420.35,905.04,490.62,636.97,347.89,396.44,1594,1419.4,520.35,2306.4,2324.5,472.63,505.96,348.73,266.87,179.21,151.67,108.97,467.04,495.81,445.81,1093.6,242.32,142.9,232.11,503.34,127.79,85.36,52.96,37.96,25.92,23.68,26.4,30.69,26.33,17.63,16.91,15.47,14.73,37.88,84.18,37.81,40,32.75,272.56,79.83,3463.3,426.15
242.86,1891.8,317.47,2112.8,2997.4,1343.4,763.05,585.54,2720.7,5079.6,1824.4,2179.5,1809.9,903.71,423.37,308.16,2343.3,812.41,417.57,300.18,1059.5,293.67,202.06,136.99,248.9,252.38,505.94,1104.9,134.29,93.67,1452.9,1688.5,198.04,268.33,4957.3,491.45,197.75,256.72,235.71,132.82,174.85,118.34,97.32,99.46,102.3,298.63,6842.3,519.6,481.95,944.16,545.69,1301.4
1373.8,2985.1,663.07,2746,934.77,1016.6,3188.7,2187.4,1733.2,1400.6,2035.3,3916.8,1157.2,852.28,1642,639.99,392.95,461.06,295.87,265.43,250.23,143.14,145.16,3573.5,569.88,341.04,174.86,88.41,228.96,78.98,41.91,30.79,21.65,21.87,16.91,14.36,14.75,8.97,27.79,25.61,11.87,10.43,6.05,9.63,8.85,10.29,13.94,16.84,26.97,363.16,107.39,63.23
40.02,67.55,2056.3,3319.8,406.64,229.84,172.6,632.66,1563.6,453.71,2996,639.2,1926.7,816.07,393.67,907.35,238.65,203.14,145.19,624.06,610.41,149.58,96.2,923.63,214.95,74.27,41.49,134.57,535.41,82.55,99.68,52.18,29.79,36.75,16.98,9.48,5.86,5.32,5.32,5.32,2.44,718.99,27.84,12.54,32.04,28.43,455.16,181.3,302.28,1235.4,235.64,143.66
100.87,245.05,152.32,418.92,200.86,2000.5,854.36,558.03,991.3,2675.7,1420.2,1376,367.51,256.75,2267.2,866.78,833.45,245.87,174.89,300.23,924.74,164.18,150.6,146.63,78.58,56.76,49.95,4395.1,226.32,139.86,287.56,86.5,8549.4,506.28,302.87,425.56,179.23,174.88,161.12,4648.7,334.26,230.66,152.42,145.83,262.45,221.86,276.92,264.61,206.64,176.22,153.76,163.93
140.73,137.1,131.29,170.42,691.35,2900.3,693.51,1087.7,797.85,494.27,2987.3,930.41,395.01,747.23,3039.6,924.74,378.44,3304,826.21,285.01,242.25,505.75,377.75,134.79,116.83,90.11,52.62,132.86,280.31,120.21,334.28,109.17,125.88,168.36,48.11,158.13,69.83,29.25,319.03,114.01,94.46,108.96,693.63,860.2,351.54,225.47,199.4,157.39,124.04,155.18,596.43,1331.1
242.13,202.29,158.82,715.24,6349.7,1479.6,625.4,742.77,3455.3,874.63,541.35,1186.9,605.86,626.24,1122.5,537.13,2573.7,337.16,208.2,185.76,304.58,222.1,556.74,123.43,74.87,97.34,56.45,37.08,88.48,52.91,35.06,59.69,29.74,902.28,118.58,52.95,51.73,121.28,192.98,408.87,74.9,45.22,48.83,110.33,113.18,118.25,2346.1,1440.5,1702,809.44,570.34,744.25
352.97,2166.4,1218,3307.5,810.86,1132.5,483.4,637.72,3282.9,676.1,555.84,1170.2,1688.3,2495.4,3312.7,838.5,860.25,2863.5,2553.4,508.14,353.1,300.93,253.11,187.92,167.63,419.75,136.47,335.71,954.7,345.15,502.33,146.76,468.3,321.96,175.77,70.26,40.06,32.85,40.14,90.11,47.39,32.12,43.04,91.5,70.42,48.7,50.89,61.74,66.06,56.65,87.82,5130.4
1025.3,345.02,584.81,877.51,512.36,1499.1,1827.3,519.61,535.55,1596.2,416.72,304.43,673.94,1149.3,2163.6,1518.8,1188.4,390.03,263.27,305.28,287.22,253.54,3262.7,227.19,148.35,89.38,54.76,248.77,278.7,541.46,658.11,194.69,85.38,127.41,100.61,361.05,88.66,44.46,206.02,369.04,2765,857.34,904.44,292.9,849.26,318.21,2385.2,709.43,386.31,485.55,3585,862.31
1376,1064.4,491.35,365.29,3495.1,4355.1,3338.7,3524.8,1414.4,746.38,2267.8,4147.9,2005.6,5313.1,978.35,594.34,612.46,511.05,1637.6,417.57,234.27,1648.5,327.01,181.61,123.77,121.59,81.76,184.29,83.35,150.29,421.22,170.54,264.72,1072.9,820.39,892.94,1054.3,237.88,155.31,250.95,260.38,273.42,295.12,192.95,160.26,158.82,156.65,172.58,139.96,493.53,241.4,262.44
535.53,208.78,1322.4,307.33,289.22,3106.8,884.02,3367.6,1438.3,925.32,899.98,2564.9,2347.5,2347.6,1289.1,779.82,461.06,381.36,2537.5,705.21,336.43,236.6,281.58,798.27,729.83,788.53,314.87,224.61,432.1,966.49,630.43,357.65,135.89,2676.9,687.98,217.29,154.33,141.57,102.42,73.42,58.96,49.55,121.26,56.71,64.62,72.6,131.99,97.21,74.77,1099.2,1665,747.12
7266.9,1347.7,1017.3,2874.2,2456.2,778.98,763.03,4907.2,2824.3,2090.3,2663.4,1356.4,2536.6,2544,3192.4,831.28,503.79,519.72,302.38,255.29,175.61,710.29,498.72,500.19,716.09,358.28,298.64,185.74,134.76,142.45,578.82,1075.4,185.19,388.29,180.2,84.89,66.93,335.72,123.45,91.55,69.08,53.91,54.63,100.91,3558.9,460.18,1767.9,473.25,340.67,245.02,261.7,2222.2
552.21,564.53,1965.7,882.57,777.51,569.59,1203.5,1319.5,1353.5,5594,2700.4,1048.5,547.86,471.21,400.91,293.69,229.91,312.53,331.36,167.64,155.31,157.49,128.51,75.6,120.54,72.97,185.15,157.8,63.6,134.81,244.11,85.45,26.98,492.58,72.93,41.37,59.69,52.42,102.4,84.32,20.53,12.59,12.59,20.49,1820.8,137.08,105.94,958.66,266.03,621.77,274.7,681.9
1139.1,1990.3,898.53,1625.2,547.87,2631.5,1787.5,1632.4,1297,809.42,1015.9,832.59,517.43,697.98,1777.5,713.9,322.68,271.93,190.11,159.66,118.38,105.83,117.65,64.97,249.32,177.77,51,384.96,158.91,111.24,360.47,141.55,63.58,47.38,340.28,112.57,641.48,114.75,55.35,1700.7,295.87,389.33,161.1,135.68,146.49,137.79,179.81,461.64,579.73,414.57,405.13,1251.4
314.57,304.41,283.41,1361.5,451.52,4209.5,1058.6,784.06,959.37,2593.1,1623,1182.5,1155.7,495.83,443.66,373.4,2432.4,559.59,308.18,197.34,159.69,169.93,103.15,1205.8,288.78,281.59,167.65,859.55,551.72,1251.8,518.89,280.12,147.69,177.18,97.54,65.22,69,71.98,60.41,65.47,122,53.9,42.32,40.8,46.51,70.41,56.66,55.2,38.55,37.82,40.74,45.83
54.5,79.84,70.43,455.13,227.65,1026,3853.1,973.87,4651.5,1189.1,395.72,321.8,277.64,207.49,200.97,198.82,208.23,479.17,239.38,190.83,822.6,648.7,153.89,116.29,77.61,54.09,37.94,28.21,27.5,21.22,167.18,354.57,384.36,207.55,24.32,13.8,6.52,658.85,85.05,71.29,37.25,187.21,242.26,145.83,110.99,101.58,76.21,87.8,73.32,169.67,121.86,977.5
470.35,678.28,559.46,389.2,215.32,404.39,1426.7,1910.6,377.61,281.25,292.11,608.72,278.36,205.31,171.27,161.86,486.44,205.32,233.57,142.29,160.4,164.76,110.55,62.82,2129.1,100.33,748.28,210.39,176.76,114.77,84.22,66.22,46.24,136.14,139.39,42.31,40.87,40.17,61.16,38.7,19.14,35.08,45.93,32.81,29.87,28.43,34.21,72.58,431.94,748.54,898.52,2154.8
668.14,1990.3,1787.5,823.9,555.1,381.95,276.9,242.84,287.05,242.85,2985.1,1115.1,534.82,634.96,413.99,271.97,242.99,206.77,149.55,236.47,167.65,3414.5,255.31,245.18,143.48,81.31,55.48,417.59,96.67,46.1,43.06,39.04,66.31,29.69,11.42,6.58,5.67,1.72,0.28,0.28,5.32,16.23,19.87,8.18,13.19,309.51,261.69,58.84,239.22,217.49,196.49,568.92
372.54,144.33,1343.4,757.23,1732.4,1418,444.26,319.65,512.35,3842.9,617.41,2194.7,513.82,464.7,342.97,3387.3,482.09,252.41,183.6,234.32,403.85,319.8,256.05,817.53,607.5,148.75,116.34,313.13,90.62,90.91,331.65,161.32,118.08,64.94,34.56,123.52,58.57,92.31,174.88,369.07,88.69,56.08,44.48,50.95,51.61,58.82,66.07,56.65,68.96,387.75,323.28,970.26
